iter	Logloss
0	0.6780781635
1	0.6639798262
2	0.6513899058
3	0.6387154597
4	0.6270724399
5	0.6165958329
6	0.6058415497
7	0.5956625046
8	0.5864882793
9	0.5779560219
10	0.5694426132
11	0.5621258657
12	0.554520072
13	0.5482978573
14	0.5419354865
15	0.535747305
16	0.5304184733
17	0.524541503
18	0.5201210999
19	0.5152255793
20	0.5098586158
21	0.505026699
22	0.5011230651
23	0.4968627261
24	0.4929857849
25	0.4892442999
26	0.4857082633
27	0.4822887831
28	0.4790196519
29	0.475628451
30	0.4729169167
31	0.4703587247
32	0.4678084157
33	0.4657355463
34	0.463303798
35	0.461132574
36	0.4590684188
37	0.4568225178
38	0.4549176043
39	0.45313423
40	0.4516079331
41	0.4499797371
42	0.4483159031
43	0.4470649675
44	0.4458496148
45	0.4443617171
46	0.4429808632
47	0.4414334589
48	0.4401607757
49	0.4389265832
50	0.4377727784
51	0.436598833
52	0.4353983774
53	0.4343776928
54	0.4331511391
55	0.432334267
56	0.4313582797
57	0.4303718804
58	0.4295799903
59	0.4286193498
60	0.4279183646
61	0.4270401754
62	0.4261720339
63	0.4254157679
64	0.4246798341
65	0.4239721526
66	0.4232641406
67	0.4225737
68	0.4219304246
69	0.4213135908
70	0.4207030922
71	0.4200837101
72	0.4195505407
73	0.4189525567
74	0.4183281823
75	0.4177035919
76	0.4171251422
77	0.4165662916
78	0.4161888771
79	0.415781686
80	0.4153206614
81	0.4148607777
82	0.4146358332
83	0.414151083
84	0.4137152035
85	0.413220379
86	0.4128339079
87	0.4123356226
88	0.411834899
89	0.4114037295
90	0.4109982206
91	0.4105665828
92	0.4100720455
93	0.4096664523
94	0.4092731171
95	0.4089107126
96	0.408640315
97	0.4082669345
98	0.4079532875
99	0.4076368262
100	0.4073196157
101	0.4070437515
102	0.4067251808
103	0.4063547578
104	0.4060368928
105	0.4058205154
106	0.4055300299
107	0.4053517236
108	0.4050831211
109	0.4047580336
110	0.40445471
111	0.4041467041
112	0.4038467509
113	0.4035392471
114	0.4033593715
115	0.4030252722
116	0.4027452725
117	0.4025169296
118	0.4022887415
119	0.4020265649
120	0.4016629421
121	0.4013943404
122	0.4010744663
123	0.4008608553
124	0.4006307773
125	0.4003872236
126	0.400165396
127	0.3999664936
128	0.3998094863
129	0.3997051014
130	0.3994015722
131	0.3991405941
